claim_s,fake_flag
فيروس كورونا 😱😱😱 الصين : مافي خروج من المنزل الكويت : مافي دراسة السعودية : مافي عمره وربما الحج  الامارات : مافي دراسة البحرين : مافي دراسة اليمن : مافي داعي للقلق شكراً حكومتنا الموقره نحن شعب مايهزه ريح  😂😂😂😂😂🌚💔✋🏻,0
RT @USER يامن تعلمون الناس الدجل والشعوذة اين انتم من تفعيل وتطوير الجانب الصحي !!! #ولايه_الفقيه_ظلم_وانتقام #كورونا_كشف_القناع,1
"الصحة البريطانيه تقول للبريطانيين "" اذا حسيت بـ اعراض كورونا لاتتصل علينا وعالج نفسك بنفسك عشان تخفف العبء على خدماتنا الصحية !! وزارة الصحة السعودية تقول اذا حسيت بشي اتصل بنا وحنا نخدمك وامانة الرياض تصنع معقمات وتوزعها مجاناً وطننا عظيم ياجماعة 💚🙏🏻 LINK",0
RT @USER مليت من كثرة النصايح في #كورونا؟ عندك حاجتين حافظ عليهم: ✅ نظافة يدينك ✅ مسافة متر من الناس في الأماكن العامة فقط🤷🏻,0
@USER @USER @USER يوم تعطلون المدارس كان لسى ماجانا كورونا ! تسلل ياححححكممم,0
_ بيقولوا الناس نزلت مظاهرات ليلية ضد اللى ما يتسماش = والله كنت متأكد إن الشعب هيفوق ويعمل ثورة على النظام! _ نظام أيه يابنى دول نازلين ضد فيروس كورونا,1
تواصل #أمانة_منطقة_الرياض توزيع معقمها مجانًا للسكان في أكثر من ٢٥ موقعًا ضمن جهودها الوقائية لمنع انتشار فيروس #كورونا المستجد.. LINK,0
فيديوجرافيك 🎥 | أسئلة شائعة حول #كورونا.. هل يجب ارتداء كمامة للوقاية منه؟  LINK LINK,0
احمى نفسك وغيرك من فيروس كورونا واشترى اونلاين ☺ واحصل على الخصم الاكيد مع كوبونات الخصومات ومن اكتر من متجر 👏 جميع احتياجات عندنا انسخ الكوبون واحصل على الخصم المضمون🏆 كوبون نون:Less17💨LUck41 Sprii:S12 اناس:  Star5 نمشى: star8 سنتربوينت : CPC197 كل: hi30 السعوديه LINK,1
يارب يخلص يومي وم أسمع كلمة كورونا.,0
أتمنئ ان لا يصل كورونا الئ (اليمن ) شعب ماعد به طافة يتحمل خلاص الموضوع مش سهل او عباطة هذه اكبر أزمة في العالم في القرن الحديث متخيل بس ماعد بش تخازين وأسواق قات وتخزن لوحدك بالبيت صح في مداعة وشمة لكن برضوا مافيش مزح نحتاج الئ أجهزة فحص طبية وحجر بالموانئ والمطارات المفتوحة LINK,0
بالأرقام .. خسائر قطاع #السياحة_العربية والعالمية جراء #فيروس_كورونا #COVID-19 😷 حتى الآن 👇🏻 اهمها قد يتعرض أكثر من 50 مليون موظف يعمل في القطاع السياحي للإيقاف. المصدر: فريق إدارة الأزمات بـ#المنظمة_العربية_للسياحة اللهم أحفظ الأمة العربية والإسلامية والعالم من هذا الوباء LINK,0
@USER @USER @USER كلارك ❤️❤️❤️❤️😏الا كلارك ولا اهد العالم فوق تحت بروح أستراليا ماعندهم كورونا 🌚❤️,0
فيني صداع قوي مدري من البخور أو كورونا 💔,0
RT @USER #عشان_الكويت_اقعد_بالبيت #فيروس_كورونا_المستجدّ  الله يحفظ الكويت واهلها  Part 4️⃣ LINK,0
@USER كل سنه و انت طيب ان شاء الله ميجلناش كورونا و لا اللي بعد كورونا 😂😂😂 LINK,0
@USER ننتظر مبادرة الغاء #المقابل_المالي . #المقابل_المالي_يغلق_المنشئات  ننتظر مبادرة اعفاء المنشآت المتضررة من جميع الرسوم هذه السنة . ذبحتوا المنشآت بالرسوم والضرائب و رفعتوها بشكل لا يطاق .  يمكن كورونا عقوبة فيكم وتغلق نصف المنشآت .  @USER @USER @USER,0
#عاجل|| وزير الصحة الأردني يعلن تسجيل 15 إصابة مؤكدة بفيروس #كورونا ليرتفع العدد إلى 85,0
من لم يمت بـ #ڤيروس_كورونا مات بغيــرهِ  #الكويت_تحارب_كورونا,0
رابط متابعة انتشار فايروس كورونا عالمياً وعلى مدار الساعة LINK يعطيك اسم البلد وعدد الاصابات وعدد الوفيات اللهم ارفع عنا البلاء والأمراض  * مفضلة + رتويت !! #تعليق_الدراسه #القطيف_في_قلوبنا #القطاع_الخاص,0
RT @USER كورونا: لا صحة لما تم تداوله بشأن وجود وزارة للصحة في مصر,0
#عمان_تواجه_كورونا اللهم إنه قد عظُمَ الخطب واشتدّ الكرب وتفاقم الأمر ولا إله إلا أنت إليك المُشتكى وأنت المستعان ولاحول ولا قوة إلابك اللهم الطُف بحالنا وارحم ضعفنا وتولّ أمرنا اللهم إنه يعزّ علينا أن نُحال دون مساجدنا لهذا البلاء💔 فأْذن لهذا البلاء بالزوال يا قوي يا قدير,0
هل يُساهم جهاز #تركيا الجديد في اكتشاف الإصابة سريعا والحد من انتشار فيروس #كورونا ؟ شاهد إجابة الدكتورة التركية شادية كارتال كانات خبيرة الأمراض المعدية LINK,0
#الحياة_برس:محافظ سلفيت: اغلاق محل البيتاوي للخضار في مدينة سلفيت بسبب استغلاله للظروف برفعه للاسعار بشكل جنوني واعتقال صاحب المحل. #سلفيت #فيروس_كورونا,0
RT @USER -يعني انتو معندكوش حالات كورونا؟! LINK,0
استغرب بصراحة سبب استنفار العالم لمحاربة فيروس كورونا مع العلم أنه لم يقتل سوى 1% من عدد الأشخاص الذين قتلتهم أنا .. لو كان فيروس كورونا يرتدي طقم وربطة عنق مثلي لكانت امريكا قالت بأن الحل مع فيروس كورونا يجب أن يكون سياسيا وكانت الأمم المتحدة طالبت بضبط النفس LINK,1
RT @USER في حالة دخول فيروس كورونا لأسبانيا سيدخل من جهة دفاع برشلونة,0
🥰عروض تصل 75% ع الاكترونيات،الأزياء،المنزل والمطبخ،البقاله،الجمال والعطور وادوات ضد كورونا 💋كود خصم نون15%💋AC2736💋 🥰كود أديداس15%🥰AAC643🥰 🦋كود نسناس25%🦋MK247🦋 💋كود أناس15%💋AC240💋 👜كود فوغا25%👜ZC6👜 🚗توصيل واسترجاع مجاني 👜المتاجر في التعليق #رمضانًَ LINK,1
مزطتوا امنا التايم كله كورونا كورونا شفطت معاكم شويا بعدها سمطتوها يرا فالاخير مايصيبنا الا ماكتب الله لنا واغسل كويس وماتخالطش الناس وتو تقعد لاقوة الا بالله اتبع طرق الوقاية بس . LINK,0
RT @USER #كورونا 🔻هذا رابط خريطه توضح عدد عن المصابين نسال الله العافيه #التعليم_عن_بعد LINK,0
مده بقاء فيروس كورونا في منطقه الانف من 3 الي 4 ساعات حتي يستقر في مجري التنفس ، ووجد العلماء بأن الوضوء 5 مرات وخاصه ركن الاستنشاق ثلاث مرات وهو تنظيف الانف احد اسباب الوقايه من الفايروس حيث ان المده بين كل الصلاه تمتد من 3 الي 4 ساعات فهنيئا للمصلين العابدين الشاكرين,0
@USER يا #كورونا_الجديد ركز تكفى ركز ونشن 😂,0
RT @USER 🦠 إيران تعلن تسجيل 97 وفاة جديدة جراء فيتروس #كورونا خلال الساعات الـ24 الماضية,0
فرنسا تستولي على شاحنات محملة بكمامات ومعقمات متجه لبريطانيا.  وإيطاليا تقرصن باخرة متجه لتونس . وتشيك تستولي على طائرة محملة بالمعدات الطبية متجه لإيطاليا . . الحضارة المادية أظهرت وجهها القبيح في أزمة #كورونا,1
RT @USER #تحية_وتقدير_للممرض أرجو المشاركة في أزجاء التحية للممرض .. الخط الأول في مواجهة كورونا .. وكل الأمراض,0
وقعت أحداث غريبه تتعلق ب #كورونا و المتهم الخفاش . 1- 1981م صدرت رواية عيون الظلام تتنبأ بوباء ينتشر من مقاطعة #ووهان_الصينية الصينية 2- 1982م ظهور منظمة حماية الخفاش (BCI ) 3- 1984م ظهور متلازمة الأنف الأبيض التي تصيب الخفاش ؟!! LINK,0
#منتدى_الملك_سلمان_الرسمي #نخبة_الشموخ #رابطة_الابداع_الخليجي #شعراء_العرب #كورونا LINK,0
@USER أفضل حل حظر التجول لمدة شهر تالله ليختفي كورونا .,0
"قال الرسول ﷺ {المؤمن للمؤمن كالبنيان يشد بعضه بعضا}من منطلق تقديرنا وواجبنا الأخلاقي والوطني، يتشرف ناصر و بدر محمد الأربش بالمساهمة بمبلغ 150,000دولار،لمكافأة الطاقم الطبي في الخطوط الأولية لمكافحة ڤيروس كورونا،الذين يبذلون قصارى جهودهم في خدمة هذا الوطن وأهله. @USER LINK",0
#كورونا اللهم إِن نسألك لنا ولإهلنا ولإحبتنا السلامة في ديننا وأبداننا والمغفرة لآبائنا وأمهاتنا والقبول في أعمالنا والبركة في أرزاقنا والشفاء لمرضانا والرحمة لموتانا .     اللهم آميـن #صباح_الخير #صلاه_الفجر #جوزيف LINK,0
"رجاءا,ليس من الضروري تحويل صنبور المياه الى شلال لتعقيم اليدين بالماء و الصابون بل صبيب منخفض كافي خصوصاً اننا في موسم جفاف في #المغرب. لا نريد ان نخرج من أزمة #كورونا لندخل أزمة مياه. SVP,pas besoin de transformer votre robinet en chutes d'eau pour vous laver les mains au savon LINK",0
RT @USER ازاي نجحت تجربة الصين مع كورونا LINK,0
سؤال للجميع  من كان يهاجم شركات المرأعي والشركات السعودية الأخر  👇🏻 المقطع اليوم في عز أزمة كورونا  من كان المستفيد من هذا الهجوم على الشركات السعودية العملاقه ولمصلحة من 😎🤔 #عز_يابلاد 🇸🇦 LINK,0
ثم يصاب المستغفر بالمرض نتيجة إهماله لسبل الوقاية وبذل الأسباب لذلك، لأنه تبنى هذه المقوله كمضاد للفيروسات .. و يبدأ يحدث نفسه بعدها بأن الله تخلى عنه في أشد المحن ويأكله القنوط .. دائماً الجهل بإسم الدين أشد خطر على الدين .. #كورونا_العقول LINK,1
"مع انتشار فيروس كورونا قل : ""تحصنت بذي العزة، واعتصمت برب الملكوت، وتوكلت على الحي الذي لا يموت، اللهم اصرف عنا الوباء، بلطفك يا لطيف، إنك على كل شيء قدير.""",0
@USER @USER مفيش حد هيطرد مسالة وقت و كل واحد هيرجع مكانه والرزق ده بتاع رب العالمين ممكن من غير كورونا تحصل مشكله و ينهوا خدماته من الشغل عادي,0
"كل يوم تزيد 10,000 حالة كورونا بالعالم .. اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْبَرَصِ، وَالْجُنُونِ، وَالْجُذَامِ، وَمِنْ سَيِّئِ الأَسْقَامِ",0
RT @USER السعودية: إجراءات جديدة تجاه زائري دول موبوءة بـ «كورونا» LINK LINK,0
RT @USER #كلنا_مسؤول  البقاء في المنزل سلاحنا الأقوى بإذن الله لمواجهة #فايروس_كورونا,0
@USER @USER #كورونا_فيروس انشاءالله,0
إلى كل عزيز وغالي علينا أصابه #فيروس_كورونا وانحرمنا مؤقتاً من وجوده بيننا ... دعواتنا مرفوعة بأساميكم ورب العالمين اللي اختاركم لهالابتلاء حباً فيكم، لا يكلف نفساً إلا وسعها وأنتم بإذنه تعالى أقوياء وقادرون على الانتصار والخروج من هذه المحنة أصحاء متعافين #قلوبنا_معكم,0
RT @USER حكمتي من اليوم لحد مابنتهي كورونا LINK,0
وزارة الصحة في مؤتمر صحفي: فحصنا ٢٩٨ حالة اشتباه بكورونا وجميعها سليمة ، ولم تسجل السعودية أي إصابة. .  #المملكة #كورونا . LINK,0
RT @USER ايران تطالب العراق بنقل المصابين العراقيين بڤايروس #كورونا الى ايران لغرض العلاج .. شكرًا ايران .. LINK,0
لماذا كل الدول أعلنت عن وجود إصابات كورونا إلا بلدنا؟😳 هل هذا يدل على جدية وزارة الصحة وصدقها؟ أم أن الثقة فيها معدومة وخاصة بعد تبريرها للدخان المغشوش؟ #الدخان_مغشوش119 #الدخان_الجديد_مغشوش119 #الدخان119,1
كورونا في نهاية المطاف هو مجرد ڤيروس و سيرجع الوضع الطبيعي كما كان في السابق بإذن الله ولكن ماحدث هو أكبر درس للبشر ، فرغم تطور العالم إلا أن الله سبحانه قادر على إهلاك الكون بجرثومة يا بني آدم اعرف حجمك وتذكر قدرة الله (أولم يَرَوْا أن الله الذي خلقهم هوأشدمنهم قوة),0
#فيروس_كورونا_من_العذاب_الادنى من كان يحب الله فليتّبع أنبياء الله وينافسهم في حب الله وقربه .. LINK LINK السعودية المساجد الصلاة الحجر الصحي العزل منظمة الصحة العالمية,0
"ماذا تفضل للطلاب في خياري ""تقديم الاختبارات قبل رمضان"" و ""التعليم عن بعد"" من أجل فايروس كورونا ؟ إذا كنت تفضل تقديم الاختبارات ( ريتويت ) إذا كنت تفضل التعليم عن بعد ( إعجاب ) وشاركنا رأيك .",0
عيب عليكوا يا اصحاب الشائعات الحقيره والتهويل ظهور حاله فى احدى المدارس يمكن تكون بؤره لانتشار فيروس كورونا فكان القرار الحكيم والجرئ من قياده حريصه على صحه ابنائها من رئيس صاحب مشروع القضاء على فيروس سى وخلافه من المشروعات الصحيه التى تتعلق بسلامه وصحه المواطن المصرى,1
@USER توني افرفر ف السناب وناس كاتبين ماك فرع العزيزيه فيه عامل عندهم فيه كورونا وكل الي اكلو يروحون للمستشفى ضوروري,0
@USER شنبك اكثر من مصابين كورونا,0
يفوز الطعم او الشكل؟🤔 وردات المعمول بالتمر والفستق مع غريبة البستاشيو والشوكليت مع البندق واللوز #حلا_القهوة #حظر_التجوال #كرونا_السعودية #حظر_تجول #كوفيد١٩ #متطوع_صحي_مستعد #ام_فقدت_4_ابناء #اقعدو_ببيوتكم_لحد_يجي #مليون_ريال #الوقايه_خير_من_العلاج #السمنه_اخطر_من_كورونا LINK,1
قبل قليل خطبة المسجد الحرام لشيخ صالح بن حميد، كانت مؤثرة ومختصرة ووجه رسائل للعالم أجمع .  #يوم_الجمعه #جنوب_الرياض #جدة_الان  #لمن_الملك_اليوم #كورونا LINK,0
🔴 بمناسبة #خلك_في_البيت 🔴 لاشك تعتبر #كورونا أزمة لم تمر على منهم في جيلي ((مواليد الثمانينات)) ولا الجيل اللي قبلي على ما أعتقد ، وبالرغم من ذلك إلا أن هذه الأزمة خلقت بعض الإيجابيات .. شاركونا أهم الإيجابيات اللي كسبناها في هذه الأزمة ؟ #COVIDー19 #فيروس_كورونا,0
الصين ارسلت لإيطاليا شحنة ضخمة (٦٨٠ الف) ماسك واجهزة تنفس لمساعدتهم على احتواء ازمة #كورونا .. واثناء الشحن استولت جمهورية التشيك على الشحنه!! لاحظوا ان كل البلدين بالاتحاد الاوروبي وكل البلدين من نظام دول #حقوق_الإنسان 😐 LINK,1
إلى الأخوة والأخوات يجب عدم الخوف والهلع وتداول الشائعات بخصوص #كورونا مع الأخذ بعين الإعتبار الإلتزام بالتعليمات الصحية التي أصدرتها وزارة الصحة فالأمور بحمد الله مازالت تحت السيطرة وجهود الدولة ووزارة الصحة والتنسيق مع كل الوزارات المعنية مستمرة للحد من تفشي هذا المرض,0
الكمامة إللى هتحمينا من الفيروس كورونا😷 من الصين 😷🤔👇👇 😂 LINK,0
RT @USER #كورونا_بكل_بساطة LINK,0
@USER 😍😟😟💯😍😍 آخر أخبار كورونا في العالم ,0
#وزير_الصحة في اجتماع اللجنة المعنية عن كورونا اليوم يسلم عليهم بإلقاء التحية فقط #سلام_نظر .. جميل أن تكون الأفعال مطابقة للأقوال والأجمل امتثالنا لهذه التوجيهات التي من شأنها بإذن الله الحد من انتشار الفايروس ، العدد في ازدياد والإجراءات الاحترازية قوية ولن تنجح إلا بالتطبيق .! LINK,0
@USER يلعن سماه يزم ،، كورونا وشرفي😂,1
متابعة أخبار كورونا مرهقة نفسياً وتحس ان الدنيا بتنتهي لكن الى الان امورنا بخير الحمدلله وعسى الله يفكنا من الهمج عديمي المسؤوليه، وبالأخير تذكّروا أن الوقايه خير من العلاج .. خذ احتياطاتك وبإذن الله كل أمورنا بخير ❤️,1
#فيروس_كورونا دخلت اشوف اخبار كورانا وشفت تعليقات ناس ودعاوي تتشمت بالصينين والايرانين وغيرهم ً استغفرالله الله يرفع عنهم وعنا الوباء والله يصلح الحال ويسامح الجميع  مايجوز التشمت 💔 اللهم طهّر ألسنتنا من الكذب والغيبة والنميمة وقلوبنا من النفاق #يارب #صلوا_عليه #ليلة_الجمعة LINK,0
ثلاثة أشهر من السنة الغريبة 2020 - عشرات آلاف الإصابات بفيروس كورونا حول العالم -حرائق مدمرة أتت على الأخضر و اليابس في استراليا - عاصفة التنين تضرب أمس مصر ودول الشام. - الملايير من الجراد يجتاح اليمن ودول شرق إفريقيا فراغ بيت الله الحرام من معتمريه اللهم اغفر لنا وارحمنا يارب LINK,0
RT @USER #فيروس_كورونا LINK,0
صباح الخير من دار زايد الخير ❤️ البيت متوحد❤️ حفظ الله الإمارات ومحبيها خليك في البيت لا تعني حظر التجول 👍🏽 كن عونا في القضاء على كورونا👍🏽 LINK,0
RT @USER The whole world is not looking at you. Thibaut  #كورونا_سودت_عيشت_ابونا,0
اذا عرف السبب بطل العجب . جميع الإجراءات والتعليمات الاحترازية للجهات المختصة في مواجهة الجائحة العالمية ( كرونا ) سلامة الإنسان والإنسانية #تكاتف_ضد_كورونا,0
"صاحب شركة ""علي بابا"" الصينية تبرع ب 114 مليون دولار لشراء معدات طبية لبلاده، و 14 مليون دولار لتطوير لقاح لمواجهة فيروس كورونا بينما هناك تجار (يؤمنون بالله واليوم الآخر) رفعوا سعر المعقمات و الكمامات عشرة أضعاف ... حسبنا الله ونعم الوكيل المحلات الساعه #ابو_طلال_الحمراني LINK",1
كورونا ماانتشر بالدول عبث الا من الظلم والفساد وطمع التجار. فانزل عليهم طير أبابيل ترميهم بحجارة من سجيل غضب من رب العالمين هذا #عيب_عليكم_يابنوك_الكويت_استحوا,1
نكتة العصر: خالتي حذفت SHEIN و جولي شيك من جوالها عشانها تطبيقات صينية😭 #كورونا,0
تحصنت بذي العزة والجبروت و اعتصمت برب الملكوت و توكلت على الحي الذي لا يموت اللهم اصرف عنا هذا الوباء و قنا شر الداء و نجنا من الطعن و الطاعون و البلاء بلطفك يالطيف ياخبير انك على كل شي قدير ، #فيروس_كورونا,0
🍀Definition of the virus - تعريف الفايروس 🦠 - #كورونا LINK,0
﴿ وما يعلم جنود ربك إلا هو ﴾ #كورونا #وزارة_الصحة,0
صفاء الهاشم تطالب بعدم إدخال أي مقيم خرج من #الكويت لحين الإنتهاء من أزمة #كورونا  -المحاجر الصحية لا تتحمل.. كما يجب ألا تكون هناك محاباة سياسية لأي دولة موبوءة  LINK,0
ياجماعه هل صحيح خبر العفو عن السجناء لاني شايف اهالي السجناء يطالبون بلعفو للسجناء والله امر مفرح وان شالله القادم لنا  يلي شبه مسجونين في بيوتنا ونفكر ماذا يحل بنا ولكن املنا في الله كبير وفي حكامنا باذن الله هذا اول الفال #العفو_عن_السجناء_بسبب_كورونا,0
📌 في حال الإصابة بفايروس كوفيد 19 - كورونا فقط يمكن لجسدك ان يكافح الفايروس لمدة 14-60 يوم وبعد ذلك ستظهر أثاره السلبيه الا في حال تمتلك مناعه قويه تستطيع مكافحته لوقت أطول. بالنظر للظروف الحاليه لإنتشاره على نطاق شبه عالمي قرار بيقهيت بإلغاء بعض احداث بانقتان الحاليه صحيح!,0
العالم يرتعد والمصريون يواجهون الوباء بالنُكتة: هل تستحق استضافة إعلامي مصري لفيروس كورونا كل هذا الهجوم؟ LINK LINK,1
مصر :١ كورونا :0 ههه LINK,0
شارك الطبيب اليمني د. عمار البعداني في مكافحة فيروس كورونا في الصين وما زال يعمل في الجبهات الأمامية. إن شعوره الأعمق هو لا صعوبة تستطيع تهزم الشعب الصيني. 也门医生欧麦尔博士在中国参加抗击新冠病毒，至今仍奋战在第一线。他最大的体会是：任何困难都难不倒中国人民！ LINK,0
#علمتني_كورونا في الشدة ماسمعنا صوت لمشاهير السناب والتواصل الي صدعو رؤوسنا بحياتهم الشخصية وسفراتهم وأكلهم وماركاتهم وكلامهم المُزيف ، في هذا الوقت الصعب مالهم لا صوت ولانفس🤫🤐 هذولا هُم أبطالنا ومشاهيرنا الحقيقين 👇🏻 أبطال الصحة أبطال القطاع العسكري🇸🇦 LINK,1
RT @USER عندها وعي اكثر من الكبار 😂 يارب تحميها من كولونا 💞 #كورونا  #خلك_في_البيت LINK,0
🔴عاجل  ايران تُطالب العراق بنقل اي مُصاب عراقي بفيروس كورونا الى مستشفياتها من اجل تلقي العلاج بعد شفاء ٤٧٦ مُصاب ايراني من الفيروس. / LINK,0
اللهم حصنّا بحصنك المنيع ، و احمنا من الامراض و الاسقام ، اللهم استودعناك انفسنا و اهلنا ، فأنت خير الحافظين وارحم الراحمين ، #وزير_الصحه #كورونا_السعوديه,0
إذا ما أنتشر ڤايروس كورونا في العاصمة بغداد فيتحمل المسؤولية الأولى والكُبرى من الناحية الأخلاقية والدينية السيد مُقتدى الصدر لأنه رجُل الدين الوحيد الذي لم يُلزم أتباعه وأنصاره بمُلازمة منازلهم ... هذا الرأي ليس بسياسي ! #العراق,1
رئيس مجلس ادارة شركة الجازي العالمية للتجارة العامة والمقاولات ابراهيم راشد السهلي: نضع ما نملكه من معدات وآليات وأيادي عاملة تحت تصرف وزارة الصحة دعماً لجهودها في مواجهة فيروس كورونا. LINK,0
المالديف فيها كورونا؟ اريد اسافر,0
اغلب الدول الاوروبيه افرجوا عن السجناء خشية عليهم من كورونا ونحن لسنا اقل انسانية منهم تجاه سجنائنا #سجناء_الكويت_بذمتكم LINK,0
#إنفوجرافيك | للحد من انتشار #فيروس_كورونا الجديد.. الوزارة تطبق حزمة من الإجراءات الاحترازية والوقائية لحماية المواطنين والمقيمن من مخاطر الإصابة بالفيروس.  #وزارة_الشؤون_البلدية_والقروية LINK,0
RT @USER 📍عاجل.. #وزارة_الصحة تعلن تسجيل 24 حالة إصابة جديدة بفيروس #كورونا.,0
رساله من مواطن يمني ( لفيروس كورونا ) إذا دخلت لليمن للتفكر بالخروج منها ( ياتطحنا يانطحنك ) أهم شي كورونا المحترم 🤣🤣🤣 LINK,0
@USER أريد توضيحا وجوابا جيدا لأسئلتي كيف تحمون المسلمين في الحرم من #كورونا بإيقاف السعي بين الصفا والمروة؟! بإيقاف الطواف في #صحن_المطاف ؟! بإيقاف السلام ومنعه في الروضة الشريفة أثناء زيارة الحبيب المصطفى صلى الله عليه وسلم؟؟ بإيقاف زيارة #البقيع ؟؟ وضحوا لي لو سمحتم,0
RT @USER عاجل :النيابة العامة توجه بالقبض على أحد مروجي الشائعات عن فيروس كورونا وتطالب بعقوبات مشدّدة تجاهه. LINK,0
"@USER @USER @USER @USER  #تعليم_جده  #كلنا_مسؤول #كورونا ""ابنتي النجيبة القرار بيدك "" LINK",0
مسلسلات رمضان ٢٠٢٠ :  بقعة كورونا الكورونا المتساقطة  عندما ينتشر الفايروس الفايروسات الاربعة رد لي كمامتي (الجزء الاول) الكمامة الضائعة العشق بالحجر الصحي ربيع بلا كمامات لن اعطس في وجه ابي ! 😂😂😂😂😂😂😂,0
"هل تذكرون المسؤول الإيراني حسين شيخ الإسلام الذي قتله كورونا؟ معلومات جديدة حول دوره ووظيفتته ونشاطه الخبيث. - كان من مؤسسي ""حزب الله""، الإرهابي في ثمانينيات القرن الماضي. - أحد الذين اقتحموا السفارة الأميركية في طهران عام 1979، وشارك في احتجاز 52 دبلوماسيا أميركياً. #جيري_ماهر",1
RT @USER #كلنا_مسؤول البقاء في المنزل سلاحنا الأقوى بإذن الله لمواجهة #فايروس_كورونا,0
@USER اللي شك أنه يبي يقول السبب انهم بيجيبون كورونا لايك,0
@USER اللي يجي من ايران حتى لو سليم دخلوا في مكوته كورونا عشان يعقل ملعون الصلايب,0
RT @USER الإمارات ترسل مساعدات طبية لإيران لاحتواء انتشار فيروس كورونا LINK LINK,0
بحسب وسائل إعلام إيطالية محلية، السلطات الإيطالية تخطط لفرض عزل كامل على المنطقة الشمالية لمكافحة انتشار فيروس #كورونا حتى الثالث من إبريل القادم، خطة المرسوم تقتضي عزل لومباردي و 11 مقاطعة أخرى، لن يسمح للأشخاص بالدخول أو المغادرة إلا في حالة الطوارئ القصوى.,0
